p,Lz=2,Lz=3,Lz=4,Lz=5,Lz=6,Lz=7,Lz=8,Lz=9,Lz=10
0.68,0.48349,0.84024,0.97493,1.00018,1.00389,1.00142,0.9998,1,1
0.69,0.51191,0.86085,0.97954,1.00063,1.00278,0.99957,0.99948,1,1
0.7,0.54547,0.87482,0.98323,1.00062,1.0017,0.99995,0.99962,1,1
0.71,0.57632,0.89045,0.98657,1.00093,1.00061,1.00039,0.99979,1,1
0.72,0.60887,0.91025,0.9897,1.00172,1.00063,1.00087,0.99998,1,1
0.73,0.6414,0.92619,0.9919,1.00085,1.00044,1,1.00019,1,1
0.74,0.67486,0.93969,0.99338,1.00001,1,1,1.00044,1,1
0.75,0.69472,0.95147,0.99439,1.00034,1,1,1,1,1
0.76,0.71601,0.95917,0.99735,0.9998,1,1,1,1,1
0.77,0.73464,0.96784,0.99858,0.99948,1,1,1,1,1
0.78,0.75113,0.97191,0.99666,0.99962,1,1,1,1,1
0.79,0.76874,0.97831,0.99763,0.99979,1,1,1,1,1
0.8,0.79113,0.98336,0.99837,0.99998,1,1,1,1,1
0.81,0.80569,0.98817,0.99952,1.00019,1,1,1,1,1
0.82,0.82138,0.99276,0.99924,1.00044,1,1,1,1,1
0.83,0.84025,0.99458,0.99971,1,1,1,1,1,1
0.84,0.8634,0.99628,1.00074,1,1,1,1,1,1
0.85,0.88118,0.997,1.00049,1,1,1,1,1,1
0.86,0.89283,0.99748,0.99979,1,1,1,1,1,1
0.87,0.90135,0.99949,0.99998,1,1,1,1,1,1
0.88,0.91285,0.99909,1.00019,1,1,1,1,1,1
0.89,0.92506,0.99885,1.00044,1,1,1,1,1,1
0.9,0.9336,0.9985,1,1,1,1,1,1,1
0.91,0.94223,0.99888,1,1,1,1,1,1,1
0.92,0.94988,0.99921,1,1,1,1,1,1,1
0.93,0.95654,0.99948,1,1,1,1,1,1,1
0.94,0.96221,0.99968,1,1,1,1,1,1,1
0.95,0.9669,0.99983,1,1,1,1,1,1,1
0.96,0.97061,0.99991,1,1,1,1,1,1,1
0.97,0.97333,0.99994,1,1,1,1,1,1,1
0.98,0.97506,0.9999,1,1,1,1,1,1,1
0.99,0.97582,0.99981,1,1,1,1,1,1,1
1,0.97558,0.99965,1,1,1,1,1,1,1
