1-p,Lz=12,Lz=8,Lz=7
0.722,0.00E+00,0,0.00E+00
0.72,0.00E+00,0,0.00E+00
0.718,0.00E+00,0,0.00E+00
0.716,0.00E+00,0,0.00E+00
0.714,0.00E+00,0,0.00E+00
0.712,0.00E+00,0,0.00E+00
0.71,0.00E+00,0,0.00E+00
0.708,0.00E+00,0,0.00E+00
0.706,0.00E+00,0,0.00E+00
0.704,0.00E+00,0,0.00E+00
0.702,0.00E+00,0,0.00E+00
0.7,0.00E+00,0,0.00E+00
0.698,0.00E+00,0,0.00E+00
0.696,0.00E+00,0,0.00E+00
0.694,0.00E+00,0,0.00E+00
0.692,0.00E+00,0,0.00E+00
0.69,0.00E+00,0,0.00E+00
0.688,0.00E+00,0,0.00E+00
0.686,0.00E+00,0,0.00E+00
0.684,0.00E+00,0,0.00E+00
0.682,0.00E+00,0,0.00E+00
0.68,0.00E+00,0,0.00E+00
0.678,0.00E+00,0,0.00E+00
0.676,0.00E+00,0,0.00E+00
0.674,0.00E+00,0,0.00E+00
0.672,0.00E+00,0,0.00E+00
0.67,0.00E+00,0,0.00E+00
0.668,0.00E+00,0,0.00E+00
0.666,0.00E+00,0,0.00E+00
0.664,0.00E+00,0,0.00E+00
0.662,0,0,0
0.66,0,0,0
0.658,0,0,0
0.656,0,0,0
0.654,0,0,0
0.652,0,0,0
0.65,0,0,0
0.648,0,0,0
0.646,0,0,0
0.644,0,0,0
0.642,0,0,0
0.64,0,0,0
0.638,0,0,0
0.636,0.02344,0,0
0.634,1,0,0
0.632,1,0,0
0.63,1,0,0
0.628,1,0,0
0.626,1,0,0
0.624,1,0,0
0.622,1,0,0
0.62,1,0.21875,0
0.618,1,1,0
0.616,1,1,0
0.614,1,1,0.07031
0.612,1,1,0.92969
0.61,1,1,1
0.608,1,1,1
0.606,1,1,1
0.604,1,1,1
0.602,1,1,1
0.6,1,1,1
0.598,1,1,1
0.596,1,1,1
0.594,1,1,1
0.592,1,1,1
0.59,1,1,1
0.588,1,1,1
0.586,1,1,1
0.584,1,1,1
0.582,1,1,1
0.58,1,1,1
0.578,1,1,1
0.576,1,1,1
0.574,1,1,1
0.572,1,1,1
0.57,1,1,1
0.568,1,1,1
0.566,1,1,1
0.564,1,1,1
0.562,1,1,1
0.56,1,1,1
0.558,1,1,1
0.556,1,1,1
0.554,1,1,1
0.552,1,1,1
0.55,1,1,1
0.548,1,1,1
0.546,1,1,1
0.544,1,1,1
0.542,1,1,1
0.54,1,1,1
0.538,1,1,1
0.536,1,1,1
0.534,1,1,1
0.532,1,1,1
0.53,1,1,1
0.528,1,1,1
0.526,1,1,1
0.524,1,1,1
0.522,1,1,1
0.52,1,1,1
0.518,1,1,1
0.516,1,1,1
0.514,1,1,1
0.512,1,1,1
0.51,1,1,1
