VG,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250
-30,1.20E-06,1.49E-06,1.45E-06,1.24E-06,1.54E-06,1.51E-06,1.33E-06,1.62E-06,1.60E-06,1.61E-06,1.73E-06,1.71E-06,1.69E-06,1.72E-06,1.60E-06
-29.25,1.24E-06,1.53E-06,1.49E-06,1.28E-06,1.59E-06,1.55E-06,1.37E-06,1.67E-06,1.65E-06,1.66E-06,1.78E-06,1.76E-06,1.75E-06,1.77E-06,1.65E-06
-28.5,1.29E-06,1.58E-06,1.54E-06,1.33E-06,1.63E-06,1.60E-06,1.42E-06,1.72E-06,1.69E-06,1.70E-06,1.83E-06,1.81E-06,1.80E-06,1.82E-06,1.71E-06
-27.75,1.33E-06,1.62E-06,1.59E-06,1.37E-06,1.68E-06,1.65E-06,1.46E-06,1.76E-06,1.74E-06,1.76E-06,1.88E-06,1.86E-06,1.85E-06,1.88E-06,1.76E-06
-27,1.38E-06,1.67E-06,1.63E-06,1.42E-06,1.73E-06,1.69E-06,1.51E-06,1.81E-06,1.78E-06,1.81E-06,1.94E-06,1.91E-06,1.91E-06,1.93E-06,1.81E-06
-26.25,1.42E-06,1.72E-06,1.68E-06,1.46E-06,1.78E-06,1.74E-06,1.55E-06,1.86E-06,1.83E-06,1.86E-06,1.99E-06,1.97E-06,1.96E-06,1.99E-06,1.87E-06
-25.5,1.47E-06,1.77E-06,1.73E-06,1.51E-06,1.82E-06,1.79E-06,1.60E-06,1.90E-06,1.88E-06,1.92E-06,2.05E-06,2.02E-06,2.01E-06,2.04E-06,1.92E-06
-24.75,1.51E-06,1.81E-06,1.77E-06,1.55E-06,1.87E-06,1.84E-06,1.64E-06,1.95E-06,1.92E-06,1.97E-06,2.11E-06,2.08E-06,2.07E-06,2.09E-06,1.98E-06
-24,1.56E-06,1.86E-06,1.82E-06,1.60E-06,1.92E-06,1.88E-06,1.69E-06,2.00E-06,1.97E-06,2.03E-06,2.16E-06,2.14E-06,2.12E-06,2.15E-06,2.03E-06
-23.25,1.60E-06,1.91E-06,1.87E-06,1.64E-06,1.97E-06,1.93E-06,1.73E-06,2.05E-06,2.02E-06,2.08E-06,2.22E-06,2.19E-06,2.17E-06,2.20E-06,2.09E-06
-22.5,1.65E-06,1.96E-06,1.92E-06,1.69E-06,2.02E-06,1.98E-06,1.78E-06,2.10E-06,2.07E-06,2.14E-06,2.27E-06,2.25E-06,2.23E-06,2.26E-06,2.14E-06
-21.75,1.70E-06,2.01E-06,1.97E-06,1.74E-06,2.07E-06,2.03E-06,1.83E-06,2.15E-06,2.12E-06,2.20E-06,2.33E-06,2.30E-06,2.28E-06,2.32E-06,2.20E-06
-21,1.75E-06,2.06E-06,2.02E-06,1.79E-06,2.12E-06,2.08E-06,1.88E-06,2.20E-06,2.17E-06,2.26E-06,2.39E-06,2.36E-06,2.34E-06,2.37E-06,2.25E-06
-20.25,1.79E-06,2.11E-06,2.07E-06,1.83E-06,2.17E-06,2.13E-06,1.92E-06,2.25E-06,2.22E-06,2.31E-06,2.44E-06,2.41E-06,2.39E-06,2.43E-06,2.31E-06
-19.5,1.84E-06,2.16E-06,2.12E-06,1.88E-06,2.22E-06,2.18E-06,1.97E-06,2.30E-06,2.27E-06,2.37E-06,2.50E-06,2.47E-06,2.45E-06,2.48E-06,2.37E-06
-18.75,1.89E-06,2.22E-06,2.17E-06,1.93E-06,2.27E-06,2.23E-06,2.02E-06,2.35E-06,2.32E-06,2.43E-06,2.56E-06,2.53E-06,2.50E-06,2.54E-06,2.42E-06
-18,1.94E-06,2.27E-06,2.22E-06,1.98E-06,2.33E-06,2.28E-06,2.08E-06,2.41E-06,2.38E-06,2.49E-06,2.62E-06,2.59E-06,2.56E-06,2.59E-06,2.48E-06
-17.25,1.99E-06,2.32E-06,2.27E-06,2.03E-06,2.38E-06,2.33E-06,2.14E-06,2.46E-06,2.43E-06,2.55E-06,2.68E-06,2.65E-06,2.61E-06,2.65E-06,2.54E-06
-16.5,2.04E-06,2.37E-06,2.32E-06,2.08E-06,2.43E-06,2.38E-06,2.19E-06,2.52E-06,2.49E-06,2.61E-06,2.74E-06,2.70E-06,2.67E-06,2.71E-06,2.60E-06
-15.75,2.09E-06,2.42E-06,2.37E-06,2.14E-06,2.48E-06,2.44E-06,2.24E-06,2.57E-06,2.55E-06,2.67E-06,2.79E-06,2.76E-06,2.73E-06,2.76E-06,2.65E-06
-15,2.15E-06,2.48E-06,2.43E-06,2.19E-06,2.54E-06,2.49E-06,2.30E-06,2.63E-06,2.60E-06,2.73E-06,2.85E-06,2.82E-06,2.78E-06,2.82E-06,2.71E-06
-14.25,2.20E-06,2.53E-06,2.48E-06,2.24E-06,2.59E-06,2.54E-06,2.35E-06,2.68E-06,2.66E-06,2.79E-06,2.91E-06,2.88E-06,2.84E-06,2.88E-06,2.77E-06
-13.5,2.26E-06,2.59E-06,2.53E-06,2.30E-06,2.65E-06,2.60E-06,2.41E-06,2.74E-06,2.72E-06,2.85E-06,2.97E-06,2.93E-06,2.89E-06,2.93E-06,2.83E-06
-12.75,2.31E-06,2.64E-06,2.58E-06,2.35E-06,2.70E-06,2.65E-06,2.47E-06,2.80E-06,2.78E-06,2.91E-06,3.03E-06,2.99E-06,2.95E-06,2.99E-06,2.89E-06
-12,2.37E-06,2.70E-06,2.64E-06,2.41E-06,2.76E-06,2.71E-06,2.52E-06,2.86E-06,2.84E-06,2.97E-06,3.09E-06,3.05E-06,3.01E-06,3.05E-06,2.95E-06
-11.25,2.43E-06,2.75E-06,2.69E-06,2.47E-06,2.81E-06,2.77E-06,2.58E-06,2.92E-06,2.89E-06,3.03E-06,3.15E-06,3.11E-06,3.06E-06,3.11E-06,3.00E-06
-10.5,2.48E-06,2.81E-06,2.75E-06,2.52E-06,2.87E-06,2.82E-06,2.64E-06,2.97E-06,2.95E-06,3.09E-06,3.21E-06,3.17E-06,3.12E-06,3.16E-06,3.06E-06
-9.75,2.54E-06,2.87E-06,2.80E-06,2.58E-06,2.93E-06,2.88E-06,2.70E-06,3.03E-06,3.01E-06,3.15E-06,3.26E-06,3.23E-06,3.18E-06,3.22E-06,3.12E-06
-9,2.60E-06,2.92E-06,2.86E-06,2.64E-06,2.99E-06,2.94E-06,2.76E-06,3.09E-06,3.07E-06,3.21E-06,3.32E-06,3.28E-06,3.23E-06,3.28E-06,3.18E-06
-8.25,2.67E-06,2.98E-06,2.92E-06,2.71E-06,3.05E-06,3.00E-06,2.82E-06,3.15E-06,3.13E-06,3.27E-06,3.38E-06,3.34E-06,3.29E-06,3.33E-06,3.24E-06
-7.5,2.72E-06,3.04E-06,2.98E-06,2.77E-06,3.11E-06,3.07E-06,2.88E-06,3.21E-06,3.19E-06,3.34E-06,3.45E-06,3.41E-06,3.34E-06,3.39E-06,3.30E-06
-6.75,2.78E-06,3.10E-06,3.04E-06,2.83E-06,3.17E-06,3.13E-06,2.94E-06,3.27E-06,3.25E-06,3.39E-06,3.50E-06,3.46E-06,3.40E-06,3.44E-06,3.35E-06
-6,2.84E-06,3.16E-06,3.10E-06,2.89E-06,3.23E-06,3.19E-06,3.00E-06,3.33E-06,3.31E-06,3.45E-06,3.56E-06,3.52E-06,3.45E-06,3.50E-06,3.41E-06
-5.25,2.90E-06,3.22E-06,3.16E-06,2.95E-06,3.29E-06,3.25E-06,3.06E-06,3.39E-06,3.36E-06,3.51E-06,3.62E-06,3.58E-06,3.51E-06,3.56E-06,3.47E-06
-4.5,2.96E-06,3.28E-06,3.21E-06,3.01E-06,3.35E-06,3.31E-06,3.12E-06,3.45E-06,3.42E-06,3.57E-06,3.67E-06,3.63E-06,3.56E-06,3.61E-06,3.53E-06
-3.75,3.03E-06,3.35E-06,3.27E-06,3.07E-06,3.41E-06,3.37E-06,3.18E-06,3.50E-06,3.48E-06,3.63E-06,3.73E-06,3.69E-06,3.62E-06,3.67E-06,3.58E-06
-3,3.09E-06,3.41E-06,3.33E-06,3.13E-06,3.47E-06,3.43E-06,3.24E-06,3.56E-06,3.54E-06,3.69E-06,3.79E-06,3.75E-06,3.67E-06,3.72E-06,3.64E-06
-2.25,3.15E-06,3.47E-06,3.40E-06,3.20E-06,3.53E-06,3.49E-06,3.30E-06,3.62E-06,3.59E-06,3.75E-06,3.85E-06,3.80E-06,3.73E-06,3.78E-06,3.70E-06
