,Red,,Blue
1.92824,0.05605,,
1.95412,0.05447,,
1.98,0.05873,,
2.00588,0.05721,,
2.03176,0.04866,,
2.05765,0.06973,,
2.08353,0.089,,
2.10941,0.10976,,
2.13529,0.1055,,
2.16118,0.12713,,
2.18706,0.19229,,
2.21294,0.20773,,
2.23882,0.44512,,
