VG,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250
-30,2.04E-12,1.94E-12,2.18E-12,2.48E-12,2.28E-12,2.26E-12,2.04E-12,1.94E-12,1.72E-12,1.88E-12,2.14E-12,1.76E-12,2.56E-12,2.04E-12,2.12E-12
-29.25,2.14E-12,1.86E-12,2.24E-12,1.56E-12,1.86E-12,2.04E-12,5.20E-13,3.80E-13,7.40E-13,1.12E-12,1.14E-12,1.18E-12,1.92E-12,2.22E-12,1.88E-12
-28.5,2.06E-12,2.06E-12,1.72E-12,1.56E-12,2.02E-12,2.02E-12,7.20E-13,1.20E-13,5.60E-13,1.10E-12,1.06E-12,1.50E-12,1.92E-12,1.98E-12,2.16E-12
-27.75,1.56E-12,1.80E-12,1.70E-12,1.42E-12,1.50E-12,1.92E-12,9.40E-13,9.00E-13,4.80E-13,1.58E-12,1.60E-12,1.36E-12,2.28E-12,1.84E-12,2.28E-12
-27,1.80E-12,1.40E-12,1.80E-12,1.80E-13,1.20E-12,1.60E-12,6.00E-13,1.04E-12,6.00E-13,1.76E-12,1.68E-12,1.24E-12,2.08E-12,2.08E-12,2.10E-12
-26.25,1.86E-12,1.22E-12,1.44E-12,1.18E-12,1.68E-12,1.54E-12,6.00E-13,7.20E-13,1.10E-12,1.32E-12,1.62E-12,1.54E-12,1.76E-12,2.02E-12,2.10E-12
-25.5,1.58E-12,1.56E-12,1.42E-12,1.92E-12,1.76E-12,1.78E-12,1.04E-12,9.80E-13,1.34E-12,1.78E-12,1.66E-12,1.76E-12,2.06E-12,2.06E-12,2.24E-12
-24.75,1.40E-12,1.28E-12,1.60E-12,2.04E-12,1.58E-12,1.82E-12,1.04E-12,1.38E-12,1.06E-12,2.00E-12,1.94E-12,1.58E-12,2.24E-12,2.02E-12,2.28E-12
-24,1.60E-12,1.16E-12,1.60E-12,2.40E-12,1.74E-12,1.68E-12,9.00E-13,1.26E-12,1.40E-12,1.64E-12,2.02E-12,1.62E-12,1.94E-12,2.20E-12,1.88E-12
-23.25,1.46E-12,1.64E-12,1.26E-12,2.42E-12,1.94E-12,1.58E-12,9.40E-13,1.14E-12,1.52E-12,1.44E-12,1.54E-12,1.94E-12,2.02E-12,2.30E-12,1.92E-12
-22.5,1.36E-12,1.94E-12,1.34E-12,1.98E-12,1.92E-12,1.94E-12,1.12E-12,1.20E-12,1.02E-12,1.74E-12,1.46E-12,1.98E-12,2.20E-12,1.62E-12,2.16E-12
-21.75,1.46E-12,1.54E-12,1.66E-12,1.96E-12,1.60E-12,1.50E-12,1.28E-12,1.34E-12,9.20E-13,1.74E-12,1.84E-12,1.40E-12,2.18E-12,1.64E-12,1.80E-12
-21,1.78E-12,1.52E-12,1.70E-12,2.38E-12,1.26E-12,1.10E-12,1.10E-12,1.02E-12,1.46E-12,1.42E-12,1.48E-12,1.48E-12,1.80E-12,2.08E-12,1.86E-12
-20.25,1.72E-12,1.66E-12,1.40E-12,2.32E-12,1.18E-12,9.00E-13,1.48E-12,9.00E-13,1.32E-12,1.36E-12,1.32E-12,1.84E-12,1.80E-12,1.86E-12,1.98E-12
-19.5,1.48E-12,1.76E-12,1.28E-12,1.94E-12,8.00E-13,6.60E-13,1.60E-12,1.30E-12,1.08E-12,1.40E-12,1.42E-12,1.66E-12,2.10E-12,1.66E-12,2.08E-12
