Vg,tch=7,Vg,tch=8,Vg,tch=12
-2.7002,4.02E-07,-2.7,4.86E-07,1.75,5.06E-07
-3.0001,4.15E-07,-3.0001,4.99E-07,1.4999,5.16E-07
-3.3,4.27E-07,-3.3001,5.11E-07,1.25,5.26E-07
-3.6001,4.39E-07,-3.6,5.23E-07,1,5.37E-07
-3.9,4.51E-07,-3.9,5.37E-07,0.7501,5.46E-07
-4.2001,4.63E-07,-4.2001,5.49E-07,0.4999,5.57E-07
-4.5,4.75E-07,-4.5001,5.61E-07,0.2501,5.66E-07
-4.8,4.87E-07,-4.8001,5.73E-07,0,5.76E-07
-5.1,4.99E-07,-5.1,5.85E-07,-0.2501,5.86E-07
-5.3999,5.10E-07,-5.4,5.96E-07,-0.5001,5.96E-07
-5.7001,5.21E-07,-5.7,6.08E-07,-0.7501,6.07E-07
-6,5.33E-07,-6.0001,6.19E-07,-1,6.17E-07
-6.3001,5.45E-07,-6.3,6.31E-07,-1.25,6.27E-07
-6.6001,5.56E-07,-6.6001,6.43E-07,-1.5,6.36E-07
-6.9,5.68E-07,-6.9001,6.54E-07,-1.75,6.47E-07
-7.2001,5.79E-07,-7.2,6.66E-07,-2,6.56E-07
-7.5,5.90E-07,-7.5,6.77E-07,-2.25,6.66E-07
-7.7999,6.01E-07,-7.8,6.87E-07,-2.5,6.76E-07
-8.1001,6.12E-07,-8.1001,6.98E-07,-2.7501,6.86E-07
-8.4,6.24E-07,-8.4001,7.10E-07,-3.0002,6.96E-07
-8.7001,6.35E-07,-8.7,7.20E-07,-3.2501,7.06E-07
-9,6.46E-07,-9,7.32E-07,-3.5,7.16E-07
-9.3,6.56E-07,-9.3,7.42E-07,-3.7499,7.25E-07
-9.6,6.67E-07,-9.6001,7.53E-07,-4.0001,7.35E-07
-9.9,6.77E-07,-9.9,7.64E-07,-4.25,7.44E-07
-10.2,6.88E-07,-10.2,7.75E-07,-4.5001,7.55E-07
-10.5,6.98E-07,-10.5,7.85E-07,-4.7501,7.64E-07
-10.8,7.09E-07,-10.8001,7.96E-07,-5,7.74E-07
-11.1001,7.20E-07,-11.1,8.06E-07,-5.25,7.81E-07
-11.4,7.30E-07,-11.4,8.17E-07,-5.5,7.92E-07
-11.7001,7.40E-07,-11.7,8.27E-07,-5.75,8.01E-07
-12,7.50E-07,-12,8.37E-07,-6,8.10E-07
-12.3,7.61E-07,-12.3,8.47E-07,-6.2501,8.19E-07
-12.6001,7.71E-07,-12.5999,8.58E-07,-6.5001,8.29E-07
-12.9001,7.82E-07,-12.9001,8.68E-07,-6.7501,8.37E-07
-13.2,7.91E-07,-13.2,8.78E-07,-7.0001,8.46E-07
-13.5,8.02E-07,-13.5,8.87E-07,-7.25,8.54E-07
-13.8,8.11E-07,-13.8,8.98E-07,-7.4999,8.64E-07
-14.1,8.21E-07,-14.1,9.08E-07,-7.75,8.73E-07
-14.4001,8.31E-07,-14.4,9.18E-07,-8,8.81E-07
-14.7001,8.41E-07,-14.7,9.28E-07,-8.2501,8.92E-07
-15.0001,8.51E-07,-15,9.37E-07,-8.5,9.01E-07
-15.3,8.60E-07,-15.3001,9.46E-07,-8.75,9.09E-07
-15.6001,8.70E-07,-15.6,9.56E-07,-9,9.19E-07
-15.9001,8.79E-07,-15.9001,9.66E-07,-9.2501,9.26E-07
-16.2001,8.89E-07,-16.2001,9.76E-07,-9.5001,9.35E-07
-16.4999,8.98E-07,-16.5,9.84E-07,-9.75,9.44E-07
-16.8,9.08E-07,-16.8,9.94E-07,-10,9.52E-07
-17.1001,9.16E-07,-17.1001,1.00E-06,-10.2501,9.61E-07
-17.4001,9.26E-07,-17.4,1.01E-06,-10.5001,9.70E-07
-17.7,9.36E-07,-17.7002,1.02E-06,-10.75,9.77E-07
-18.0001,9.44E-07,-18,1.03E-06,-11.0001,9.86E-07
-18.3,9.54E-07,-18.3001,1.04E-06,-11.2501,9.94E-07
-18.6,9.62E-07,-18.6001,1.05E-06,-11.5001,1.00E-06
-18.9,9.71E-07,-18.9,1.06E-06,-11.75,1.01E-06
-19.2,9.79E-07,-19.2,1.07E-06,-12,1.02E-06
-19.5001,9.88E-07,-19.5001,1.08E-06,-12.2501,1.03E-06
-19.7999,9.98E-07,-19.8,1.09E-06,-12.5,1.04E-06
-20.1001,1.01E-06,-20.1,1.09E-06,-12.7501,1.04E-06
-20.4,1.01E-06,-20.4001,1.10E-06,-13.0001,1.05E-06
-20.7001,1.02E-06,-20.7,1.11E-06,-13.2501,1.06E-06
-20.9999,1.03E-06,-21,1.12E-06,-13.5001,1.07E-06
-21.3,1.04E-06,-21.3001,1.13E-06,-13.75,1.08E-06
-21.6001,1.05E-06,-21.6002,1.14E-06,-14.0001,1.09E-06
-21.9001,1.06E-06,-21.9001,1.14E-06,-14.2501,1.09E-06
-22.2,1.07E-06,-22.2,1.15E-06,-14.5,1.10E-06
-22.5,1.08E-06,-22.5,1.16E-06,-14.7501,1.11E-06
-22.8001,1.08E-06,-22.8001,1.17E-06,-15.0001,1.11E-06
-23.1,1.09E-06,-23.1,1.18E-06,-15.25,1.12E-06
-23.4001,1.10E-06,-23.4,1.19E-06,-15.5001,1.13E-06
-23.7,1.11E-06,-23.7,1.20E-06,-15.7501,1.14E-06
-24.0001,1.12E-06,-24,1.20E-06,-16,1.15E-06
-24.3,1.13E-06,-24.3001,1.21E-06,-16.2501,1.15E-06
-24.6,1.14E-06,-24.6001,1.22E-06,-16.5001,1.16E-06
-24.9,1.15E-06,-24.9001,1.23E-06,-16.75,1.17E-06
-25.2001,1.16E-06,-25.2001,1.24E-06,-17,1.18E-06
,,,,-17.2501,1.18E-06
,,,,-17.5001,1.19E-06
,,,,-17.75,1.20E-06
,,,,-18,1.21E-06
,,,,-18.25,1.21E-06
,,,,-18.5001,1.22E-06
,,,,-18.7501,1.23E-06
,,,,-19,1.24E-06
,,,,-19.2501,1.24E-06
,,,,-19.5,1.25E-06
,,,,-19.7501,1.26E-06
,,,,-20.0001,1.27E-06
,,,,-20.2501,1.27E-06
,,,,-20.5,1.28E-06
,,,,-20.7499,1.29E-06
,,,,-21,1.30E-06
,,,,-21.2501,1.30E-06
,,,,-21.5001,1.31E-06
,,,,-21.75,1.32E-06
,,,,-22.0001,1.32E-06
,,,,-22.25,1.33E-06
,,,,-22.5001,1.34E-06
,,,,-22.7501,1.35E-06
,,,,-23.0001,1.35E-06
,,,,-23.2501,1.36E-06
,,,,-23.4999,1.37E-06
,,,,-23.7501,1.38E-06
,,,,-24,1.38E-06
,,,,-24.25,1.39E-06
,,,,-24.5001,1.40E-06
,,,,-24.75,1.40E-06
,,,,-25.0001,1.41E-06
