Vg,4nm,3nm,2nm
6.25,1.88E-13,8.48E-13,3.74E-10
6.5,1.98E-13,1.53E-12,4.93E-10
6.75,2.98E-13,2.47E-12,6.33E-10
7,1.63E-13,4.03E-12,7.95E-10
7.25,5.67E-14,6.68E-12,9.80E-10
7.5,1.35E-13,1.16E-11,1.19E-09
7.75,8.50E-14,2.09E-11,1.42E-09
8,3.33E-15,3.70E-11,1.67E-09
8.25,1.38E-13,6.17E-11,1.92E-09
8.5,1.02E-13,9.68E-11,2.22E-09
8.75,5.17E-14,1.44E-10,2.55E-09
9,9.17E-14,2.04E-10,2.85E-09
9.25,8.33E-15,2.68E-10,3.23E-09
9.5,7.50E-14,3.58E-10,3.63E-09
9.75,1.45E-13,4.64E-10,4.05E-09
10,3.83E-13,5.88E-10,4.50E-09
10.25,7.02E-13,7.29E-10,4.97E-09
10.5,1.77E-12,8.89E-10,5.47E-09
10.75,3.78E-12,1.07E-09,5.99E-09
11,8.36E-12,1.26E-09,6.53E-09
11.25,2.03E-11,1.48E-09,7.09E-09
11.5,4.34E-11,1.71E-09,7.69E-09
11.75,7.89E-11,1.94E-09,8.30E-09
12,1.27E-10,2.22E-09,8.93E-09
12.25,1.89E-10,2.51E-09,9.59E-09
12.5,2.65E-10,2.83E-09,1.02E-08
12.75,3.42E-10,3.12E-09,1.09E-08
13,4.50E-10,3.48E-09,1.16E-08
13.25,5.71E-10,3.86E-09,1.24E-08
13.5,7.08E-10,4.26E-09,1.31E-08
13.75,8.63E-10,4.68E-09,1.39E-08
14,1.03E-09,5.12E-09,1.47E-08
14.25,1.22E-09,5.58E-09,1.56E-08
14.5,1.42E-09,6.06E-09,1.64E-08
14.75,1.64E-09,6.56E-09,1.73E-08
15,1.85E-09,7.07E-09,1.81E-08
15.25,2.10E-09,7.60E-09,1.90E-08
15.5,2.37E-09,8.15E-09,1.99E-08
15.75,2.66E-09,8.73E-09,2.07E-08
16,2.96E-09,9.32E-09,2.16E-08
16.25,3.19E-09,9.85E-09,2.26E-08
16.5,3.53E-09,1.05E-08,2.36E-08
16.75,3.88E-09,1.11E-08,2.46E-08
17,4.25E-09,1.18E-08,2.56E-08
17.25,4.63E-09,1.25E-08,2.67E-08
17.5,5.02E-09,1.32E-08,2.77E-08
17.75,5.44E-09,1.39E-08,2.88E-08
18,5.86E-09,1.46E-08,2.99E-08
18.25,6.30E-09,1.54E-08,3.10E-08
18.5,6.75E-09,1.61E-08,3.21E-08
18.75,7.21E-09,1.69E-08,3.32E-08
19,7.68E-09,1.76E-08,3.44E-08
19.25,8.17E-09,1.85E-08,3.54E-08
19.5,8.68E-09,1.91E-08,3.66E-08
19.75,9.08E-09,2.00E-08,3.77E-08
20,9.62E-09,2.08E-08,3.89E-08
20.25,1.02E-08,2.17E-08,4.01E-08
20.5,1.07E-08,2.26E-08,4.13E-08
20.75,1.13E-08,2.35E-08,4.26E-08
21,1.18E-08,2.44E-08,4.38E-08
21.25,1.24E-08,2.53E-08,4.50E-08
21.5,1.30E-08,2.63E-08,4.63E-08
21.75,1.36E-08,2.72E-08,4.75E-08
22,1.42E-08,2.82E-08,4.88E-08
22.25,1.49E-08,2.91E-08,5.01E-08
22.5,1.55E-08,3.01E-08,5.14E-08
22.75,1.61E-08,3.11E-08,5.25E-08
23,1.68E-08,3.20E-08,5.38E-08
23.25,1.72E-08,3.30E-08,5.51E-08
23.5,1.78E-08,3.40E-08,5.65E-08
23.75,1.85E-08,3.50E-08,5.78E-08
24,1.91E-08,3.61E-08,5.91E-08
24.25,1.98E-08,3.71E-08,6.05E-08
24.5,2.05E-08,3.82E-08,6.18E-08
24.75,2.12E-08,3.93E-08,6.32E-08
25,2.19E-08,4.03E-08,6.46E-08
